sample_id,category,difficulty,macro_family,correct_baseline,target_letter,prob_original_target,prob_original_correct,baseline_above_chance,feature_source,n_positive_available,minimal_sufficient_k,minimal_necessary_k,auc_sufficiency,auc_necessity
q100_1247352,Instrumentation,High,percettiva,True,A,0.8926721432251137,0.8926721432251137,True,MI,18,15.0,8.0,0.07123639531480425,0.5136642779856434
q100_1247352,Instrumentation,High,percettiva,True,A,0.8926721432251137,0.8926721432251137,True,MI_balanced,18,8.0,6.0,0.29928119704946243,0.4230406871905717
q100_1247352,Instrumentation,High,percettiva,True,A,0.8926721432251137,0.8926721432251137,True,UC_audio,15,7.0,,0.541145410152531,0.011914915633825131
q100_1247352,Instrumentation,High,percettiva,True,A,0.8926721432251137,0.8926721432251137,True,UC_text,5,1.0,3.0,0.8768576098267512,0.736118326540245
q101_1247352,Melody,High,analitica,False,B,0.8643542420504464,0.06068719298864371,True,MI,13,10.0,10.0,0.5612208512553101,0.3180432035062325
q101_1247352,Melody,High,analitica,False,B,0.8643542420504464,0.06068719298864371,True,MI_balanced,13,4.0,3.0,0.8366916115461898,0.48776300841893055
q101_1247352,Melody,High,analitica,False,B,0.8643542420504464,0.06068719298864371,True,UC_audio,8,1.0,,1.005398921064417,-0.008991170914655532
q101_1247352,Melody,High,analitica,False,B,0.8643542420504464,0.06068719298864371,True,UC_text,5,4.0,5.0,0.6349448070354645,0.5097368250763434
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.6553479317558064,0.6553479317558064,True,MI,13,1.0,5.0,0.9648198357959286,0.5361020637533092
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.6553479317558064,0.6553479317558064,True,MI_balanced,13,4.0,4.0,1.2133905438046027,0.6050099777984906
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.6553479317558064,0.6553479317558064,True,UC_audio,12,5.0,,0.9665559679795777,-0.13221592145764385
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.6553479317558064,0.6553479317558064,True,UC_text,3,1.0,2.0,0.8521443819067643,0.888010382265828
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.7555273815934902,0.1397585127154639,True,MI,7,1.0,,0.7867502454753598,0.1110890328729884
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.7555273815934902,0.1397585127154639,True,MI_balanced,7,2.0,,0.6278181882723844,0.14427927019130124
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.7555273815934902,0.1397585127154639,True,UC_audio,9,1.0,,1.1167005811014465,-0.025940302993498737
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.7555273815934902,0.1397585127154639,True,UC_text,8,1.0,,0.9848352060644879,0.04433093941106354
q104_625206,Instrumentation,Medium,percettiva,True,A,0.4557241306096894,0.4557241306096894,True,MI,13,2.0,1.0,1.6930622131333735,0.291273071585597
q104_625206,Instrumentation,Medium,percettiva,True,A,0.4557241306096894,0.4557241306096894,True,MI_balanced,13,1.0,1.0,2.28888619553008,0.7956434935157409
q104_625206,Instrumentation,Medium,percettiva,True,A,0.4557241306096894,0.4557241306096894,True,UC_audio,10,1.0,,1.3723690754940243,-1.3802561741996195
q104_625206,Instrumentation,Medium,percettiva,True,A,0.4557241306096894,0.4557241306096894,True,UC_text,7,2.0,1.0,0.8413417871400329,1.4687505736327282
q105_625206,Instrumentation,Medium,percettiva,True,A,0.548405168503821,0.548405168503821,True,MI,12,3.0,1.0,0.8650088642168988,1.0522002396713466
q105_625206,Instrumentation,Medium,percettiva,True,A,0.548405168503821,0.548405168503821,True,MI_balanced,12,4.0,1.0,1.0026133704000135,0.9973970368307779
q105_625206,Instrumentation,Medium,percettiva,True,A,0.548405168503821,0.548405168503821,True,UC_audio,12,1.0,,1.7146370357621277,0.0895036567810437
q105_625206,Instrumentation,Medium,percettiva,True,A,0.548405168503821,0.548405168503821,True,UC_text,5,3.0,1.0,1.0482245015408362,1.2084178279627393
q106_395289,Instrumentation,Low,percettiva,True,A,0.9179322519818054,0.9179322519818054,True,MI,21,11.0,8.0,0.44331023047859736,0.4880267260856926
q106_395289,Instrumentation,Low,percettiva,True,A,0.9179322519818054,0.9179322519818054,True,MI_balanced,21,5.0,5.0,0.7743326681406043,0.5586574040989121
