sample_idx,evaluation_idx,identifier,option_permutation_idx,option_order,correct_answer,predicted_answer,predicted_option_source_index,main_category,difficulty,is_correct,audio_early,audio_middle,audio_late,instruction_early,instruction_middle,instruction_late,question_early,question_middle,question_late,options_early,options_middle,options_late,text_early,text_middle,text_late,audio_drop_early_to_late,text_gain_early_to_late,late_question_audio_ratio,late_options_audio_ratio,late_text_audio_ratio,n_audio_tokens,n_instruction_tokens,n_question_tokens,n_options_tokens,n_other_text_tokens,n_query_text_tokens
0,0,q1_1204663,0,CABD,B,A,2,Melody,Low,0,0.06305727,0.02116099,0.01674941,0.29787724,0.26327584,0.23956812,0.07360437,0.06240945,0.03135294,0.09384875,0.16148000,0.05951958,0.93694271,0.97883903,0.98325055,0.04630786,0.04630784,1.87188318,3.55353286,58.70359121,1500,62,17,19,21,119
0,1,q1_1204663,1,DACB,B,C,2,Melody,Low,0,0.07424262,0.03134855,0.02418683,0.29213519,0.26624181,0.19559100,0.06268026,0.03010820,0.04228123,0.06624810,0.09636710,0.08836619,0.92575742,0.96865143,0.97581318,0.05005579,0.05005576,1.74810950,3.65348331,40.34481110,1500,62,17,19,21,119
0,2,q1_1204663,2,DCAB,C,B,2,Melody,Low,0,0.06901373,0.01828460,0.01637597,0.29111848,0.24767475,0.24261632,0.06847313,0.06181645,0.02576355,0.10049906,0.17615800,0.05752531,0.93098628,0.98171538,0.98362401,0.05263776,0.05263774,1.57325328,3.51278818,60.06508381,1500,62,17,19,21,119
1,3,q2_1204663,0,BDCA,D,D,0,Structure,High,1,0.07802232,0.01874090,0.02044730,0.29486867,0.27982222,0.25474982,0.07613191,0.08279582,0.03285052,0.08092775,0.14307421,0.05580556,0.92197771,0.98125910,0.97955272,0.05757502,0.05757500,1.60659452,2.72923899,47.90621924,1500,62,18,15,21,116
1,4,q2_1204663,1,ACDB,A,A,0,Structure,High,1,0.06904668,0.01760688,0.02228500,0.30356331,0.27524936,0.23381618,0.07900542,0.07505933,0.03798589,0.08095404,0.15491526,0.06269337,0.93095331,0.98239314,0.97771499,0.04676168,0.04676168,1.70454918,2.81325380,43.87322370,1500,62,18,15,21,116
1,5,q2_1204663,2,BCDA,D,D,0,Structure,High,1,0.07878574,0.01873488,0.02067635,0.29404199,0.28030505,0.25382893,0.07598251,0.08302296,0.03435857,0.08038063,0.14347837,0.05673049,0.92121425,0.98126511,0.97932365,0.05810940,0.05810940,1.66173298,2.74373853,47.36444088,1500,62,18,15,21,116
2,6,q3_1204663,0,DACB,B,B,0,Metre and Rhythm,Low,1,0.07456338,0.02090864,0.01902990,0.31481222,0.26536306,0.25198371,0.04723869,0.05287461,0.02771885,0.08468886,0.16332636,0.06235551,0.92543662,0.97909135,0.98097012,0.05553348,0.05553349,1.45659420,3.27671199,51.54887780,1500,62,11,15,21,109
2,7,q3_1204663,1,BDAC,C,C,0,Metre and Rhythm,Low,1,0.08157400,0.02988003,0.02191692,0.31105633,0.27798267,0.21716448,0.04797403,0.02821628,0.02970180,0.06103477,0.12172245,0.07464713,0.91842602,0.97011996,0.97808304,0.05965708,0.05965702,1.35519955,3.40591353,44.62685254,1500,62,11,15,21,109
2,8,q3_1204663,2,BDCA,D,D,0,Metre and Rhythm,Low,1,0.08177103,0.02325050,0.01985850,0.31541504,0.29239099,0.25469371,0.04987743,0.05394830,0.02732829,0.07663149,0.13351512,0.05610218,0.91822896,0.97674952,0.98014150,0.06191252,0.06191254,1.37615043,2.82509594,49.35625881,1500,62,11,15,21,109
3,9,q4_196219,0,DBCA,D,D,0,Musical Texture,Medium,1,0.04149602,0.02112359,0.02313546,0.31215178,0.29198517,0.25550123,0.05765170,0.05375618,0.01981469,0.09620168,0.13455982,0.05055703,0.95850402,0.97887639,0.97686452,0.01836056,0.01836049,0.85646395,2.18526143,42.22368673,1500,62,14,21,21,118
