sample_idx,evaluation_idx,identifier,option_permutation_idx,option_order,correct_answer,predicted_answer,predicted_option_source_index,main_category,difficulty,is_correct,audio_early,audio_middle,audio_late,instruction_early,instruction_middle,instruction_late,question_early,question_middle,question_late,options_early,options_middle,options_late,text_early,text_middle,text_late,audio_drop_early_to_late,text_gain_early_to_late,late_question_audio_ratio,late_options_audio_ratio,late_text_audio_ratio,n_audio_tokens,n_instruction_tokens,n_question_tokens,n_options_tokens,n_other_text_tokens,n_query_text_tokens
0,0,q1_1204663,0,CABD,B,A,2,Melody,Low,0,0.03516763,0.01062314,0.01001123,0.30288943,0.26205085,0.23126577,0.07522102,0.06206477,0.03171214,0.09721608,0.15794479,0.05444639,0.96483235,0.98937688,0.98998878,0.02515640,0.02515643,3.16765563,5.43852992,98.88779838,1500,62,17,19,21,119
0,1,q1_1204663,1,DACB,B,B,0,Melody,Low,1,0.03376037,0.00961422,0.00919763,0.30027250,0.24756092,0.23894548,0.07084715,0.06475599,0.03159578,0.10612332,0.17065418,0.05461441,0.96623959,0.99038582,0.99080235,0.02456274,0.02456276,3.43521044,5.93788101,107.72370992,1500,62,17,19,21,119
0,2,q1_1204663,2,DCAB,C,B,2,Melody,Low,0,0.03415761,0.00950238,0.00940438,0.29957526,0.24824417,0.23397235,0.07133161,0.06085641,0.02768126,0.10557083,0.16987151,0.05258318,0.96584242,0.99049761,0.99059563,0.02475323,0.02475321,2.94344247,5.59134839,105.33340579,1500,62,17,19,21,119
1,3,q2_1204663,0,BDCA,D,D,0,Structure,High,1,0.03684647,0.00774145,0.00848651,0.30789201,0.27783276,0.25097857,0.07797420,0.07406943,0.02710665,0.08611742,0.13909019,0.05584567,0.96315358,0.99225852,0.99151351,0.02835996,0.02835993,3.19408865,6.58052460,116.83411837,1500,62,18,15,21,116
1,4,q2_1204663,1,ACDB,A,A,0,Structure,High,1,0.03714481,0.00834271,0.00917196,0.31008930,0.27714965,0.23326241,0.07873285,0.06673357,0.03175425,0.08370529,0.14471545,0.06252686,0.96285516,0.99165726,0.99082809,0.02797285,0.02797293,3.46210200,6.81717716,108.02798125,1500,62,18,15,21,116
1,5,q2_1204663,2,BCDA,D,D,0,Structure,High,1,0.03720573,0.00770806,0.00875188,0.30686387,0.27813500,0.25066797,0.07853603,0.07407158,0.02837318,0.08650805,0.13901192,0.05640904,0.96279427,0.99229194,0.99124811,0.02845385,0.02845384,3.24195167,6.44536077,113.26112949,1500,62,18,15,21,116
2,6,q3_1204663,0,DACB,B,B,0,Metre and Rhythm,Low,1,0.03705520,0.01189793,0.00976102,0.32516001,0.26431654,0.24461530,0.04780499,0.04601691,0.02630151,0.08920594,0.15576805,0.05931777,0.96294483,0.98810207,0.99023896,0.02729418,0.02729414,2.69454579,6.07700760,101.44833908,1500,62,11,15,21,109
2,7,q3_1204663,1,BDAC,C,C,0,Metre and Rhythm,Low,1,0.04246927,0.01923289,0.01093028,0.31904057,0.27867046,0.21003708,0.05013754,0.02702754,0.02835248,0.06702940,0.11992603,0.06682632,0.95753070,0.98076712,0.98906975,0.03153899,0.03153905,2.59393881,6.11386920,90.48894734,1500,62,11,15,21,109
2,8,q3_1204663,2,BDCA,D,D,0,Metre and Rhythm,Low,1,0.03974142,0.01044745,0.00966266,0.32971931,0.28395698,0.24799046,0.05179465,0.04714121,0.02586851,0.08244803,0.13661514,0.05412193,0.96025855,0.98955251,0.99033731,0.03007876,0.03007876,2.67716156,5.60113963,102.49113342,1500,62,11,15,21,109
3,9,q4_196219,0,DBCA,D,B,1,Musical Texture,Medium,0,0.03598877,0.01175507,0.01175844,0.31537781,0.27059427,0.24946975,0.05557806,0.05213640,0.02407245,0.10171796,0.15716188,0.05470485,0.96401124,0.98824494,0.98824153,0.02423033,0.02423028,2.04724838,4.65239004,84.04529385,1500,62,14,21,21,118
3,10,q4_196219,1,BACD,B,A,1,Musical Texture,Medium,0,0.03752892,0.01150922,0.01059276,0.31872041,0.28458538,0.23847557,0.06118548,0.05082057,0.02400565,0.09319045,0.14799257,0.05823386,0.96247106,0.98849076,0.98940726,0.02693617,0.02693620,2.26623233,5.49751707,93.40413679,1500,62,14,21,21,118
3,11,q4_196219,2,CDAB,C,D,1,Musical Texture,Medium,0,0.03754861,0.01053574,0.00950586,0.31786682,0.29596676,0.24802743,0.05999601,0.05241034,0.02036780,0.09457922,0.13002865,0.04874980,0.96245138,0.98946427,0.99049416,0.02804275,0.02804278,2.14265651,5.12839254,104.19822414,1500,62,14,21,21,118
4,12,q5_196219,0,CBAD,C,C,0,Performance,Low,1,0.04212451,0.01860687,0.01015169,0.31003640,0.27265461,0.21868750,0.05370822,0.03456098,0.02466835,0.08197586,0.13751621,0.07067257,0.95787552,0.98139311,0.98984833,0.03197282,0.03197281,2.42997555,6.96165775,97.50580268,1500,62,13,22,21,118
4,13,q5_196219,1,DABC,B,B,0,Performance,Low,1,0.03731326,0.01141837,0.01074516,0.31363951,0.26078474,0.24073089,0.05480711,0.05250230,0.02300040,0.09917050,0.16049730,0.06484745,0.96268679,0.98858161,0.98925479,0.02656810,0.02656800,2.14053665,6.03503970,92.06517521,1500,62,13,22,21,118
4,14,q5_196219,2,ADBC,A,A,0,Performance,Low,1,0.03779161,0.01141592,0.01021346,0.31690355,0.27291535,0.22955035,0.06297098,0.05239622,0.02544253,0.09226615,0.15140489,0.07079271,0.96220839,0.98858406,0.98978657,0.02757816,0.02757818,2.49107960,6.93131769,96.91005630,1500,62,13,22,21,118
5,15,q6_196219,0,BCDA,D,C,3,Melody,Medium,0,0.04296334,0.01708754,0.00940276,0.31514741,0.26679349,0.23055886,0.05433376,0.02618297,0.02105697,0.07088292,0.14838591,0.07038961,0.95703666,0.98291246,0.99059729,0.03356058,0.03356063,2.23944598,7.48605934,105.35176390,1500,62,11,16,21,110
5,16,q6_196219,1,DCBA,D,D,0,Melody,Medium,1,0.04028003,0.00970946,0.00866216,0.32417495,0.27755023,0.25716307,0.05784219,0.04787809,0.02209159,0.08567664,0.15753227,0.05546005,0.95971993,0.99029052,0.99133783,0.03161787,0.03161790,2.55035556,6.40256631,114.44465634,1500,62,11,16,21,110
5,17,q6_196219,2,BDAC,C,C,0,Melody,Medium,1,0.04206957,0.01711440,0.00904232,0.31531395,0.27989822,0.23505521,0.05450965,0.02768436,0.01989816,0.07169286,0.14093218,0.05791370,0.95793045,0.98288564,0.99095769,0.03302726,0.03302724,2.20055937,6.40474084,109.59111606,1500,62,11,16,21,110
6,18,q7_171574,0,CBDA,D,D,0,Metre and Rhythm,Medium,1,0.03877927,0.00918836,0.00929330,0.32028083,0.29120206,0.24621996,0.05012134,0.03941791,0.02145553,0.09722170,0.14773916,0.06205127,0.96122070,0.99081160,0.99070667,0.02948597,0.02948597,2.30870884,6.67698728,106.60436101,1500,62,11,21,21,115
6,19,q7_171574,1,BCAD,C,C,0,Metre and Rhythm,Medium,1,0.04320765,0.01957361,0.01141470,0.31244688,0.27215832,0.21001040,0.04857680,0.02309330,0.02470085,0.07793083,0.12973826,0.07571812,0.95679237,0.98042637,0.98858534,0.03179295,0.03179297,2.16395052,6.63338704,86.60633663,1500,62,11,21,21,115
6,20,q7_171574,2,DBAC,C,C,0,Metre and Rhythm,Medium,1,0.04243852,0.01933401,0.01059370,0.31191888,0.27570936,0.21029966,0.04864023,0.02333290,0.02436734,0.07847063,0.13045117,0.07842383,0.95756145,0.98066598,0.98940628,0.03184482,0.03184483,2.30017360,7.40287788,93.39576557,1500,62,11,21,21,115
7,21,q8_171574,0,ADBC,A,A,0,Harmony,Medium,1,0.03786566,0.01002798,0.00967443,0.33007044,0.27938979,0.23965848,0.05779579,0.04646948,0.02867051,0.08422698,0.14287349,0.05811408,0.96213436,0.98997205,0.99032559,0.02819123,0.02819123,2.96353326,6.00697478,102.36522625,1500,62,9,15,21,107
7,22,q8_171574,1,ABDC,A,B,1,Harmony,Medium,0,0.03699519,0.01019603,0.00938545,0.32394661,0.26281204,0.24970264,0.05310525,0.04760090,0.02348557,0.08996786,0.15406717,0.05505506,0.96300483,0.98980396,0.99061454,0.02760974,0.02760971,2.50233834,5.86600175,105.54790264,1500,62,9,15,21,107
7,23,q8_171574,2,BACD,B,A,1,Harmony,Medium,0,0.03781348,0.01035128,0.00969377,0.33080965,0.27313172,0.24895982,0.05748109,0.04917871,0.03077973,0.08388307,0.14169368,0.05368425,0.96218654,0.98964872,0.99030625,0.02811971,0.02811971,3.17520867,5.53801802,102.15908175,1500,62,9,15,21,107
8,24,q9_171574,0,CDBA,D,D,0,Sound Texture,Medium,1,0.03743646,0.01032569,0.00979349,0.31112041,0.26396848,0.25155690,0.06422787,0.04971268,0.02439174,0.09713104,0.15878271,0.06020627,0.96256352,0.98967433,0.99020651,0.02764297,0.02764299,2.49060683,6.14757968,101.10863606,1500,62,18,26,21,127
8,25,q9_171574,1,ADCB,A,C,2,Sound Texture,Medium,0,0.04030415,0.01715893,0.01146780,0.30486354,0.25830199,0.23352192,0.06418816,0.03741268,0.02687953,0.08625812,0.15566919,0.06268162,0.95969585,0.98284108,0.98853224,0.02883635,0.02883639,2.34391327,5.46587999,86.20069090,1500,62,18,26,21,127
8,26,q9_171574,2,BCAD,C,C,0,Sound Texture,Medium,1,0.04084272,0.01728019,0.01131595,0.29960919,0.24920388,0.23296300,0.06401338,0.03633717,0.02583017,0.09136950,0.16177801,0.06629488,0.95915731,0.98271982,0.98868400,0.02952676,0.02952669,2.28263326,5.85853189,87.37080640,1500,61,18,27,21,127
9,27,q10_1093606,0,CABD,B,B,0,Sound Texture,Low,1,0.03654863,0.01147606,0.01056387,0.31298395,0.27155100,0.25050968,0.04770701,0.03809479,0.01934721,0.10477860,0.16857879,0.06374866,0.96345131,0.98852395,0.98943609,0.02598476,0.02598478,1.83145199,6.03459530,93.66230664,1500,62,11,21,21,115
9,28,q10_1093606,1,BCAD,C,C,0,Sound Texture,Low,1,0.04259025,0.01846228,0.01015592,0.31126481,0.27689964,0.22239519,0.04835143,0.02367373,0.02113961,0.08273976,0.13560928,0.06817122,0.95740976,0.98153772,0.98984408,0.03243432,0.03243432,2.08150514,6.71245849,97.46470165,1500,62,11,21,21,115
9,29,q10_1093606,2,BDAC,C,C,0,Sound Texture,Low,1,0.04241643,0.01854379,0.01045442,0.30946317,0.27744558,0.22515238,0.04822201,0.02354978,0.02088551,0.08302706,0.13578322,0.06678361,0.95758363,0.98145618,0.98954554,0.03196201,0.03196191,1.99776801,6.38807338,94.65330904,1500,62,11,21,21,115
10,30,q11_1093606,0,ACBD,A,B,2,Harmony,High,0,0.03446017,0.01158089,0.01090221,0.30646008,0.24324127,0.23996668,0.06679175,0.05860651,0.02623488,0.10640836,0.17565321,0.05923627,0.96553983,0.98841918,0.98909779,0.02355796,0.02355796,2.40638155,5.43341793,90.72451830,1500,62,13,26,21,122
10,31,q11_1093606,1,CBAD,C,C,0,Harmony,High,1,0.04057060,0.01739147,0.01227711,0.30041073,0.25491078,0.21120700,0.07058296,0.04847895,0.03096507,0.09442094,0.16633964,0.06892601,0.95942941,0.98260852,0.98772291,0.02829349,0.02829350,2.52218002,5.61419070,80.45242631,1500,62,13,26,21,122
10,32,q11_1093606,2,BCAD,C,C,0,Harmony,High,1,0.04016760,0.01742415,0.01254963,0.30169010,0.25443032,0.21576931,0.06993416,0.04788631,0.03207015,0.09505191,0.16552484,0.06856978,0.95983242,0.98257588,0.98745039,0.02761797,0.02761797,2.55546517,5.46388723,78.68360558,1500,62,13,26,21,122
11,33,q12_1093606,0,CABD,B,B,0,Instrumentation,Low,1,0.03695535,0.01451074,0.01070406,0.32256511,0.25463909,0.25324158,0.04811124,0.04973551,0.01965466,0.09536794,0.15771812,0.06316596,0.96304468,0.98548926,0.98929598,0.02625130,0.02625130,1.83618864,5.90112384,92.42254075,1500,62,10,20,21,113
11,34,q12_1093606,1,CBAD,C,C,0,Instrumentation,Low,1,0.04329523,0.02304371,0.01472190,0.31768709,0.27658380,0.21336326,0.04921939,0.02089017,0.02495140,0.07017154,0.10154910,0.07073424,0.95670482,0.97695634,0.98527812,0.02857334,0.02857330,1.69484970,4.80469649,66.92603265,1500,62,10,20,21,113
11,35,q12_1093606,2,CDBA,D,D,0,Instrumentation,Low,1,0.03888464,0.01206772,0.01035287,0.32711722,0.28302637,0.26019397,0.05110876,0.04929246,0.01824663,0.08889027,0.13290900,0.05640851,0.96111535,0.98793227,0.98964711,0.02853177,0.02853176,1.76247132,5.44858734,95.59158606,1500,62,10,20,21,113
12,36,q13_1045016,0,ADCB,A,A,0,Metre and Rhythm,Medium,1,0.03709883,0.01045694,0.01011290,0.31743420,0.25945952,0.22674196,0.05310419,0.05804144,0.02639472,0.10450261,0.16709582,0.07246924,0.96290119,0.98954309,0.98988708,0.02698593,0.02698589,2.61000365,7.16601669,97.88356172,1500,62,10,29,21,122
12,37,q13_1045016,1,BADC,B,B,0,Metre and Rhythm,Medium,1,0.03524347,0.01068887,0.00923529,0.31095439,0.24619009,0.24144664,0.04516589,0.05521118,0.02397745,0.11348120,0.18066426,0.06960993,0.96475653,0.98931113,0.99076470,0.02600818,0.02600817,2.59628502,7.53738460,107.28030108,1500,62,10,29,21,122
12,38,q13_1045016,2,CADB,B,B,0,Metre and Rhythm,Medium,1,0.03567774,0.01065537,0.00998744,0.31017321,0.24900770,0.23674433,0.04550251,0.05519672,0.02642970,0.11304265,0.17775657,0.06927784,0.96432228,0.98934460,0.99001257,0.02569029,0.02569029,2.64629290,6.93649302,99.12571570,1500,62,10,29,21,122
13,39,q14_1045016,0,BDCA,D,B,3,Instrumentation,Low,0,0.03635985,0.01310132,0.01084482,0.32266723,0.25363701,0.25317466,0.04666988,0.04983334,0.01841098,0.09590836,0.15509332,0.05703077,0.96364013,0.98689869,0.98915518,0.02551503,0.02551505,1.69767478,5.25880317,91.20992977,1500,62,8,18,21,109
13,40,q14_1045016,1,BDAC,C,B,3,Instrumentation,Low,0,0.03638905,0.01308922,0.01091535,0.32241481,0.25457268,0.25319683,0.04675881,0.04996488,0.01872049,0.09582271,0.15485710,0.05831495,0.96361090,0.98691079,0.98908469,0.02547370,0.02547379,1.71506199,5.34247356,90.61414003,1500,62,8,18,21,109
13,41,q14_1045016,2,DACB,B,C,2,Instrumentation,Low,0,0.04106683,0.01846627,0.01166123,0.32014168,0.28082495,0.23042232,0.04756574,0.02751665,0.02081991,0.07485787,0.12614188,0.05662050,0.95893319,0.98153373,0.98833880,0.02940560,0.02940560,1.78539619,4.85545002,84.75428353,1500,62,8,18,21,109
14,42,q15_1045016,0,ABCD,A,A,0,Sound Texture,Low,1,0.03866215,0.01155093,0.00951592,0.32876580,0.27436587,0.24416819,0.05396473,0.04496506,0.02710310,0.08601659,0.15866693,0.06840180,0.96133783,0.98844902,0.99048405,0.02914623,0.02914621,2.84818511,7.18814419,104.08705384,1500,62,11,15,21,109
14,43,q15_1045016,1,CADB,B,B,0,Sound Texture,Low,1,0.03711383,0.01132729,0.01008555,0.32342428,0.26381872,0.25070858,0.05086936,0.04742593,0.02655296,0.09314120,0.17082675,0.06662568,0.96288618,0.98867269,0.98991449,0.02702828,0.02702831,2.63277301,6.60605380,98.15176933,1500,62,11,15,21,109
14,44,q15_1045016,2,ADBC,A,A,0,Sound Texture,Low,1,0.03868757,0.01142804,0.00925583,0.32808642,0.27334692,0.24283084,0.05454197,0.04444259,0.02637736,0.08641594,0.16214824,0.06581710,0.96131241,0.98857195,0.99074418,0.02943174,0.02943177,2.84980944,7.11087789,107.03998232,1500,62,11,15,21,109
15,45,q16_1100505,0,ACDB,A,A,0,Sound Texture,Medium,1,0.03609767,0.01088180,0.00986525,0.31964537,0.27978790,0.23189692,0.06179696,0.05524648,0.02961825,0.08757403,0.14175497,0.05052639,0.96390235,0.98911818,0.99013478,0.02623242,0.02623243,3.00227946,5.12165089,100.36586660,1500,62,15,17,21,115
15,46,q16_1100505,1,CDAB,C,C,0,Sound Texture,Medium,1,0.04105806,0.02017260,0.01155024,0.31126710,0.27771710,0.21838376,0.06044806,0.03154577,0.03239431,0.07182159,0.11355679,0.05679285,0.95894194,0.97982736,0.98844976,0.02950782,0.02950782,2.80464372,4.91702732,85.57828324,1500,62,15,17,21,115
15,47,q16_1100505,2,ADCB,A,A,0,Sound Texture,Medium,1,0.03632445,0.01083790,0.00979586,0.31919759,0.28085566,0.23667007,0.06217310,0.05483789,0.02909340,0.08710686,0.14182296,0.05061208,0.96367546,0.98916209,0.99020415,0.02652860,0.02652869,2.96996960,5.16668266,101.08397437,1500,62,15,17,21,115
16,48,q17_1100505,0,ACDB,A,D,1,Performance,Medium,0,0.03863816,0.00928208,0.00898151,0.32348260,0.30498991,0.25624044,0.04684044,0.03830205,0.01961984,0.09448064,0.13846806,0.05756100,0.96136187,0.99071796,0.99101850,0.02965665,0.02965663,2.18446969,6.40883065,110.33980925,1500,62,11,20,21,114
