mode,sample_idx,evaluation_idx,identifier,option_permutation_idx,option_order,component,layer_start,layer_end,correct_answer,baseline_pred,knockout_pred,baseline_correct,knockout_correct,baseline_pred_source_index,knockout_pred_source_index,n_audio_tokens,n_instruction_tokens,n_question_tokens,n_options_tokens,n_other_text_tokens,n_input_tokens,baseline_logit_A,knockout_logit_A,delta_logit_A,baseline_prob_A,knockout_prob_A,delta_prob_A,baseline_logit_B,knockout_logit_B,delta_logit_B,baseline_prob_B,knockout_prob_B,delta_prob_B,baseline_logit_C,knockout_logit_C,delta_logit_C,baseline_prob_C,knockout_prob_C,delta_prob_C,baseline_logit_D,knockout_logit_D,delta_logit_D,baseline_prob_D,knockout_prob_D,delta_prob_D,delta_prob_correct,delta_logit_correct,delta_prob_baseline_pred,delta_logit_baseline_pred,pred_changed,elapsed_sec_so_far
decision_logits,138,0,q139_250001,0,ACBD,audio,0,2,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.0,-0.125,0.4701322734651783,0.4701322734651783,0.0,24.375,24.25,-0.125,0.22207476134904228,0.22207476134904228,0.0,23.0,22.875,-0.125,0.05614929289792739,0.05614929289792739,0.0,24.5,24.375,-0.125,0.2516436722878519,0.2516436722878519,0.0,0.0,-0.125,0.0,-0.125,0,5.366
decision_logits,138,0,q139_250001,0,ACBD,audio,2,4,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.0,-0.125,0.4701322734651783,0.4566302152970892,-0.013502058168089082,24.375,24.375,0.0,0.22207476134904228,0.24441654134485405,0.022341779995811772,23.0,22.875,-0.125,0.05614929289792739,0.0545367020132026,-0.0016125908847247905,24.5,24.375,-0.125,0.2516436722878519,0.24441654134485405,-0.007227130942997845,-0.013502058168089082,-0.125,-0.013502058168089082,-0.125,0,5.938
decision_logits,138,0,q139_250001,0,ACBD,audio,4,6,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.125,0.0,0.4701322734651783,0.4701322734651783,0.0,24.375,24.375,0.0,0.22207476134904228,0.22207476134904228,0.0,23.0,23.0,0.0,0.05614929289792739,0.05614929289792739,0.0,24.5,24.5,0.0,0.2516436722878519,0.2516436722878519,0.0,0.0,0.0,0.0,0.0,0,6.508
decision_logits,138,0,q139_250001,0,ACBD,audio,6,8,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.0,-0.125,0.4701322734651783,0.4701322734651783,0.0,24.375,24.25,-0.125,0.22207476134904228,0.22207476134904228,0.0,23.0,22.875,-0.125,0.05614929289792739,0.05614929289792739,0.0,24.5,24.375,-0.125,0.2516436722878519,0.2516436722878519,0.0,0.0,-0.125,0.0,-0.125,0,7.076
decision_logits,138,0,q139_250001,0,ACBD,audio,8,10,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.125,0.0,0.4701322734651783,0.4566302152970892,-0.013502058168089082,24.375,24.5,0.125,0.22207476134904228,0.24441654134485405,0.022341779995811772,23.0,23.0,0.0,0.05614929289792739,0.0545367020132026,-0.0016125908847247905,24.5,24.5,0.0,0.2516436722878519,0.24441654134485405,-0.007227130942997845,-0.013502058168089082,0.0,-0.013502058168089082,0.0,0,7.646
decision_logits,138,0,q139_250001,0,ACBD,audio,10,12,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.125,0.0,0.4701322734651783,0.4701322734651783,0.0,24.375,24.375,0.0,0.22207476134904228,0.22207476134904228,0.0,23.0,23.0,0.0,0.05614929289792739,0.05614929289792739,0.0,24.5,24.5,0.0,0.2516436722878519,0.2516436722878519,0.0,0.0,0.0,0.0,0.0,0,8.216
decision_logits,138,0,q139_250001,0,ACBD,audio,12,14,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.125,0.0,0.4701322734651783,0.4701322734651783,0.0,24.375,24.375,0.0,0.22207476134904228,0.22207476134904228,0.0,23.0,23.0,0.0,0.05614929289792739,0.05614929289792739,0.0,24.5,24.5,0.0,0.2516436722878519,0.2516436722878519,0.0,0.0,0.0,0.0,0.0,0,8.788
decision_logits,138,0,q139_250001,0,ACBD,audio,14,16,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.0,-0.125,0.4701322734651783,0.47325467331645,0.0031223998512717177,24.375,24.25,-0.125,0.22207476134904228,0.22354967860306654,0.001474917254024266,23.0,22.75,-0.25,0.05614929289792739,0.049880675587832254,-0.006268617310095134,24.5,24.375,-0.125,0.2516436722878519,0.2533149724926511,0.0016713002047992198,0.0031223998512717177,-0.125,0.0031223998512717177,-0.125,0,9.357
decision_logits,138,0,q139_250001,0,ACBD,audio,16,18,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.125,0.0,0.4701322734651783,0.4701322734651783,0.0,24.375,24.375,0.0,0.22207476134904228,0.22207476134904228,0.0,23.0,23.0,0.0,0.05614929289792739,0.05614929289792739,0.0,24.5,24.5,0.0,0.2516436722878519,0.2516436722878519,0.0,0.0,0.0,0.0,0.0,0,9.926
decision_logits,138,0,q139_250001,0,ACBD,audio,18,20,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.0,-0.125,0.4701322734651783,0.4566302152970892,-0.013502058168089082,24.375,24.375,0.0,0.22207476134904228,0.24441654134485405,0.022341779995811772,23.0,22.875,-0.125,0.05614929289792739,0.0545367020132026,-0.0016125908847247905,24.5,24.375,-0.125,0.2516436722878519,0.24441654134485405,-0.007227130942997845,-0.013502058168089082,-0.125,-0.013502058168089082,-0.125,0,10.497
decision_logits,138,0,q139_250001,0,ACBD,audio,20,22,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.0,-0.125,0.4701322734651783,0.4701322734651783,0.0,24.375,24.25,-0.125,0.22207476134904228,0.22207476134904228,0.0,23.0,22.875,-0.125,0.05614929289792739,0.05614929289792739,0.0,24.5,24.375,-0.125,0.2516436722878519,0.2516436722878519,0.0,0.0,-0.125,0.0,-0.125,0,11.068
decision_logits,138,0,q139_250001,0,ACBD,audio,22,24,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.125,0.0,0.4701322734651783,0.4701322734651783,0.0,24.375,24.375,0.0,0.22207476134904228,0.22207476134904228,0.0,23.0,23.0,0.0,0.05614929289792739,0.05614929289792739,0.0,24.5,24.5,0.0,0.2516436722878519,0.2516436722878519,0.0,0.0,0.0,0.0,0.0,0,11.639
decision_logits,138,0,q139_250001,0,ACBD,audio,24,26,A,A,A,1,1,0,0,1500,63,13,21,18,1616,25.125,25.125,0.0,0.4701322734651783,0.49784395217641203,0.027711678711233756,24.375,24.25,-0.125,0.22207476134904228,0.20753223538898985,-0.014542525960052427,23.0,23.0,0.0,0.05614929289792739,0.0594589809420637,0.003309688044136311,24.5,24.375,-0.125,0.2516436722878519,0.2351648314925343,-0.016478840795317584,0.027711678711233756,0.0,0.027711678711233756,0.0,0,12.209
